COUNTRY	COUNT	SECTOR	TRADE	OLD_UCM	CURRENCY	BORDER	FDI_2000	CROSSBORDER	Distance	FDI_2013	YCOUNTRYI	YCOUNTRYJ	cpi	HPCorr	SUMSIZE	EPL	PMR	FIIndex	latejoiner	HPCorrSA	UCM	HPOX
ROMANIA	SLOVENIA	0.34020368	8235752237	0.540586665	0	0	0	0	927.813	104.4	2204179.5	624420.5	13.3425	0.774718105	0.012381916	0.131428571	0.1085239	0	0	0.774718105	0.670094515	0.840371144
ROMANIA	SPAIN	0.46228289	36447236551	0.174818809	0	0	2911.033382	0	2477.149	4910.8	2204179.5	18611818	15.400625	0.638234601	0.091119966	0.059310345	0.11823945	0	0	0.638234601	0.563415183	0.762306327
ROMANIA	SWEDEN	0.418070933	8658269304	0.170519146	0	0	0	0	1746.583	2096.5	2204179.5	6515395.8	18.429375	0.345479813	0.038169077	0.008965517	0.057386875	0	0	0.345479813	0.342892035	0.47289463
ROMANIA	UK	0.605999029	41573048389	0.364709525	0	0	1156.601115	0	2097.38	4431.5	2204179.5	33488892.7	12.179375	0.469396927	0.156242886	1.520666667	0.50956655	0	0	0.469396927	0.43547196	0.574313244
SLOVAKIA	SLOVENIA	0.14248672	15876169455	0.834109271	1	0	60.24070149	0	308.8653	73.4	1127072.6	624420.5	0.63375	0.87478748	0.007666987	0.257619048	0.101038033	0	0.5	0.87478748	0.884687269	0.872785926
SLOVAKIA	SPAIN	0.239475754	24691191980	0.668364057	1	0	479.2925877	0	1865.664	1240	1127072.6	18611818	2.691875	0.755031868	0.086405037	0.448357964	0.110753583	0	0.5	0.755031868	0.782365604	0.727132929
SLOVAKIA	SWEDEN	0.275840672	13485679555	0.702868076	0	0	0	0	1244.273	690.1	1127072.6	6515395.8	5.720625	0.68938466	0.033454148	0.398013136	0.064872742	0	0	0.68938466	0.708446624	0.676989065
SLOVAKIA	UK	0.501686978	36260510823	0.663015276	0	0	436.165834	0	1294.938	2327.9	1127072.6	33488892.7	0.529375	0.651155407	0.151527958	1.131619048	0.517052417	0	0	0.651155407	0.644622353	0.566432152
SLOVENIA	SPAIN	0.259211056	12750870191	0.745731026	1	0	42.7125355	0	1600.555	111.2	624420.5	18611818	2.058125	0.867365081	0.084204728	0.190738916	0.00971555	0	0.5	0.867365081	0.877712799	0.90073369
SLOVENIA	SWEDEN	0.164070629	5017229660	0.759034633	0	0	58.25586956	0	1495.673	303.8	624420.5	6515395.8	5.086875	0.728932238	0.031253838	0.140394089	0.165910775	0	0	0.728932238	0.722909811	0.733869354
SLOVENIA	UK	0.381940359	11170746811	0.602367237	0	0	124.5296254	0	1230.756	609	624420.5	33488892.7	1.163125	0.669580235	0.149327648	1.389238095	0.61809045	0	0	0.669580235	0.493641538	0.641182297
SPAIN	SWEDEN	0.250396332	72526588680	0.773613187	0	0	6268.79462	0	2596.908	43651.6	18611818	6515395.8	3.02875	0.670255235	0.109991888	0.050344828	0.175626325	0	0	0.670255235	0.609723503	0.642897797
SWEDEN	UK	0.266436548	2.60E+11	0.703705796	0	0	47248.39	0	1437.571	91744	6515395.8	33488892.7	6.25	0.783139119	0.175114808	1.529632184	0.452179675	0	0	0.783139119	0.744651501	0.79916953
